User_ID,Group,Session_Date,Existing_Cart_Value,Prompted_Product_Price,Added_Product,Total_Order_Value,Conversion,Time_Spent_on_Checkout_Page,Device_Type,Returning_Customer
1,Show Prompt,2024-01-01 00:00:00,52.77,33.30762942366704,0,34.8,1,55.13801783375487,Mobile,0
2,No Prompt,2024-01-01 01:00:00,111.74,79.25522347809955,0,117.39,1,145.0,Mobile,1
3,No Prompt,2024-01-01 02:00:00,164.49,26.46944873793874,0,177.69,1,5.020883475648168,Mobile,0
4,No Prompt,2024-01-01 03:00:00,148.64,1.0,0,135.02,1,1.740192568264422,Mobile,0
5,Show Prompt,2024-01-01 04:00:00,158.39,41.79520413826617,0,160.9,1,117.0,Desktop,0
6,Show Prompt,2024-01-01 05:00:00,119.42,6.263631860339302,0,136.91,1,1.4263873510364116,Desktop,1
7,Show Prompt,2024-01-01 06:00:00,134.85,73.21707961656224,0,140.33,0,177.0,Mobile,1
8,No Prompt,2024-01-01 07:00:00,176.37,14.495917029513755,0,171.51,0,3.737134859715398,Mobile,1
9,No Prompt,2024-01-01 08:00:00,50.45,13.262596191543135,0,54.96,1,165.0,Mobile,0
10,No Prompt,2024-01-01 09:00:00,98.85,54.35098804493085,0,107.24,1,141.0,Desktop,0
11,Show Prompt,2024-01-01 10:00:00,49.81,34.787750780676355,1,98.61,0,1.0269988927462164,Desktop,1
12,No Prompt,2024-01-01 11:00:00,196.65,54.35764561671135,0,191.07,1,57.0,Mobile,0
13,No Prompt,2024-01-01 12:00:00,184.99,46.45660530270619,0,193.83,0,161.0,Mobile,1
14,Show Prompt,2024-01-01 13:00:00,5.38,14.631598752419716,1,34.79,0,129.0,Mobile,1
15,Show Prompt,2024-01-01 14:00:00,136.03,80.41203361853348,0,139.22,1,41.0,Mobile,1
16,Show Prompt,2024-01-01 15:00:00,181.75,13.914922605213604,0,178.68,1,2.1395810265546173,Mobile,0
17,Show Prompt,2024-01-01 16:00:00,40.12,39.784715023388245,0,36.77,1,138.0,Desktop,0
18,No Prompt,2024-01-01 17:00:00,118.53,52.35384377161196,0,287.42,1,223.24173074154407,Desktop,0
19,Show Prompt,2024-01-01 18:00:00,184.43,81.48344751463742,0,182.58,0,76.0,Mobile,1
20,Show Prompt,2024-01-01 19:00:00,16.07,58.930705996695,0,14.67,1,54.0,Desktop,0
21,No Prompt,2024-01-01 20:00:00,142.42,28.495688362039186,0,143.1,0,178.86235053388774,Desktop,0
22,Show Prompt,2024-01-01 21:00:00,73.37,48.67285105957656,0,60.74,1,144.0,Mobile,0
23,Show Prompt,2024-01-01 22:00:00,182.61,76.14544995915088,0,179.43,1,4.222106559067778,Mobile,0
24,Show Prompt,2024-01-01 23:00:00,190.52,57.97507001229201,0,201.9,1,95.48290893162428,Desktop,1
26,No Prompt,2024-01-02 01:00:00,100.93,20.39907550945998,0,95.87,1,112.96569507403436,Desktop,0
27,Show Prompt,2024-01-02 02:00:00,177.15,57.23945128231932,0,172.65,1,4.222106559067778,Tablet,0
28,No Prompt,2024-01-02 03:00:00,172.27,25.835678386285007,0,171.87,0,40.0,Desktop,1
29,No Prompt,2024-01-02 04:00:00,68.89,39.218861822448496,0,74.75,1,47.06903961418098,Desktop,0
30,Show Prompt,2024-01-02 05:00:00,160.09,40.36242835206549,0,159.7,1,142.0,Desktop,1
31,No Prompt,2024-01-02 06:00:00,13.46,48.22168662530376,0,12.22,1,80.0,Desktop,1
32,Show Prompt,2024-01-02 07:00:00,130.27,11.74511557093006,0,125.13,0,73.0,Mobile,0
33,Show Prompt,2024-01-02 08:00:00,49.7,48.69400632925995,0,51.54,1,45.0,Mobile,0
34,No Prompt,2024-01-02 09:00:00,33.15,22.45229104820085,0,39.43,1,133.13814062296908,Mobile,1
35,No Prompt,2024-01-02 10:00:00,22.34,10.664728328821088,0,29.71,0,84.0,Desktop,0
36,No Prompt,2024-01-02 11:00:00,135.29,41.2748292116349,0,145.93,0,160.03473468821534,Mobile,0
37,Show Prompt,2024-01-02 12:00:00,71.07,39.52454016483408,0,79.22,1,2.653080472927725,Mobile,0
38,Show Prompt,2024-01-02 13:00:00,152.47,21.79858196013421,1,196.6,1,1.0269988927462164,Mobile,0
39,No Prompt,2024-01-02 14:00:00,29.37,49.529374793979855,0,23.56,1,140.0,Desktop,1
40,Show Prompt,2024-01-02 15:00:00,67.03,52.525592040107554,1,90.26,1,42.0,Tablet,1
41,Show Prompt,2024-01-02 16:00:00,116.83,29.38917847229499,0,121.22,0,4.393273041192147,Tablet,1
42,Show Prompt,2024-01-02 17:00:00,162.12,44.52217463036397,0,167.96,1,90.0,Mobile,0
43,Show Prompt,2024-01-02 18:00:00,69.37,64.98071090642718,1,299.52,0,170.79337231431384,Desktop,0
44,No Prompt,2024-01-02 19:00:00,128.6,41.82758635441151,0,132.37,1,2.7957192080313664,Desktop,1
45,Show Prompt,2024-01-02 20:00:00,179.09,32.746904468706674,0,178.52,1,65.0,Mobile,0
46,No Prompt,2024-01-02 21:00:00,122.98,55.18962765757073,0,132.94,1,7.365825282161635,Mobile,1
47,Show Prompt,2024-01-02 22:00:00,45.93,28.65017687639474,1,62.02,1,35.0,Mobile,0
48,No Prompt,2024-01-02 23:00:00,22.25,56.61803367133439,0,19.15,0,90.0,Desktop,1
49,No Prompt,2024-01-03 00:00:00,172.19,38.05084255662442,0,178.49,0,115.0,Mobile,0
50,Show Prompt,2024-01-03 01:00:00,22.05,60.620098917422,0,12.16,1,4.735606005440887,Mobile,0
51,No Prompt,2024-01-03 02:00:00,165.44,16.50262418128205,0,170.23,1,0.5990826874352928,Desktop,0
52,No Prompt,2024-01-03 03:00:00,108.83,71.37924148505064,0,114.64,1,29.0,Mobile,0
53,No Prompt,2024-01-03 04:00:00,188.02,49.88670350226087,0,189.98,1,193.6554772697732,Mobile,0
54,No Prompt,2024-01-03 05:00:00,159.54,52.70649400028995,0,161.36,1,100.0,Desktop,1
55,No Prompt,2024-01-03 06:00:00,204.15,41.85092923817948,0,193.94,1,159.0,Mobile,1
56,No Prompt,2024-01-03 07:00:00,79.91,53.40495532049403,0,67.97,1,89.0,Desktop,1
57,Show Prompt,2024-01-03 08:00:00,153.77,50.6206658424362,1,206.73,0,169.0,Mobile,1
58,Show Prompt,2024-01-03 09:00:00,91.67,57.20224776441279,1,118.97,1,51.0,Desktop,0
